visit_id,service,offered,dedicated_days,all_planned_sessions_conducted,reason_not_conducted
KD-041-R3,Antenatal Care,Yes,MTWTFSS,Yes,
KD-041-R3,Postnatal Care,Yes,MTWTF,No,Low community turnout / community resistance
KD-041-R3,IMCI,Yes,Specific days,Yes,
KD-041-R3,Malaria,Yes,MTWTF,Yes,
KD-041-R3,Labour and Delivery,Yes,Specific days,Yes,
KD-041-R3,Family Planning,Yes,MTWTF,Yes,
KD-041-R4,Immunization,Yes,On needs basis,Yes,
KD-041-R4,Nutrition,Yes,MTWTF,Yes,
KD-041-R4,Antenatal Care,Yes,Specific days,Yes,
KD-041-R4,Postnatal Care,Yes,MTWTF,Yes,
KD-041-R4,IMCI,Yes,Specific days,Yes,
KD-041-R4,Malaria,Yes,MTWTF,No,"Facility closed (holiday, strike, renovation)"
KD-041-R4,Labour and Delivery,Yes,Specific days,No,"Staff unavailable (leave, redeployment, strike)"
KD-041-R4,Family Planning,Yes,On needs basis,Yes,
KD-041-R5,Immunization,Yes,MTWTF,Yes,
KD-041-R5,Nutrition,Yes,MTWTF,Yes,
KD-041-R5,Antenatal Care,Yes,Specific days,Yes,
KD-041-R5,Postnatal Care,Yes,On needs basis,Yes,
KD-041-R5,IMCI,Yes,MTWTF,Yes,
KD-041-R5,Malaria,Yes,Specific days,Yes,
KD-041-R5,Labour and Delivery,Yes,MTWTF,Yes,
KD-041-R5,Family Planning,Yes,MTWTF,Yes,
KD-041-R6,Immunization,Yes,MTWTF,Yes,
KD-041-R6,Nutrition,Yes,MTWTFSS,Yes,
KD-041-R6,Antenatal Care,Yes,On needs basis,Yes,
KD-041-R6,Postnatal Care,Yes,MTWTF,No,"Attending training, meeting, or other official assignment"
KD-041-R6,IMCI,Yes,On needs basis,Yes,
KD-041-R6,Malaria,Yes,Specific days,Yes,
KD-041-R6,Labour and Delivery,Yes,On needs basis,No,"Staff unavailable (leave, redeployment, strike)"
KD-041-R6,Family Planning,Yes,Specific days,Yes,
KD-042-R1,Immunization,No,,,
KD-042-R1,Nutrition,Yes,MTWTF,No,"Attending training, meeting, or other official assignment"
KD-042-R1,Antenatal Care,Yes,MTWTF,Yes,
KD-042-R1,Postnatal Care,Yes,MTWTF,Yes,
KD-042-R1,IMCI,Yes,Specific days,Yes,
KD-042-R1,Malaria,Yes,On needs basis,No,"Staff unavailable (leave, redeployment, strike)"
KD-042-R1,Labour and Delivery,No,,,
KD-042-R1,Family Planning,Yes,MTWTF,Yes,
KD-042-R2,Immunization,No,,,
KD-042-R2,Nutrition,Yes,Specific days,Yes,
KD-042-R2,Antenatal Care,Yes,On needs basis,No,Weather or environmental conditions
KD-042-R2,Postnatal Care,Yes,Specific days,No,"Facility closed (holiday, strike, renovation)"
KD-042-R2,IMCI,Yes,MTWTF,Yes,
KD-042-R2,Malaria,Yes,MTWTFSS,Yes,
KD-042-R2,Labour and Delivery,No,,,
KD-042-R2,Family Planning,Yes,Specific days,Yes,
KD-042-R3,Immunization,No,,,
KD-042-R3,Nutrition,Yes,MTWTF,Yes,
KD-042-R3,Antenatal Care,Yes,On needs basis,Yes,
KD-042-R3,Postnatal Care,Yes,Specific days,Yes,
KD-042-R3,IMCI,Yes,Specific days,Yes,
KD-042-R3,Malaria,Yes,MTWTF,Yes,
KD-042-R3,Labour and Delivery,No,,,
KD-042-R3,Family Planning,Yes,On needs basis,Yes,
KD-042-R4,Immunization,No,,,
KD-042-R4,Nutrition,Yes,MTWTFSS,Yes,
KD-042-R4,Antenatal Care,Yes,MTWTF,No,"Facility closed (holiday, strike, renovation)"
KD-042-R4,Postnatal Care,Yes,Specific days,Yes,
KD-042-R4,IMCI,Yes,Specific days,No,Weather or environmental conditions
KD-042-R4,Malaria,Yes,On needs basis,No,Weather or environmental conditions
KD-042-R4,Labour and Delivery,No,,,
KD-042-R4,Family Planning,Yes,MTWTFSS,Yes,
KD-042-R5,Immunization,No,,,
KD-042-R5,Nutrition,Yes,On needs basis,Yes,
KD-042-R5,Antenatal Care,Yes,Specific days,Yes,
KD-042-R5,Postnatal Care,Yes,Specific days,Yes,
KD-042-R5,IMCI,Yes,MTWTF,No,"Attending training, meeting, or other official assignment"
KD-042-R5,Malaria,Yes,MTWTF,No,"Security concerns (insecurity, movement restrictions)"
KD-042-R5,Labour and Delivery,No,,,
KD-042-R5,Family Planning,Yes,MTWTF,No,"Staff unavailable (leave, redeployment, strike)"
KD-042-R6,Immunization,No,,,
KD-042-R6,Nutrition,Yes,MTWTF,No,"Staff unavailable (leave, redeployment, strike)"
KD-042-R6,Antenatal Care,Yes,MTWTF,Yes,
KD-042-R6,Postnatal Care,Yes,On needs basis,Yes,
KD-042-R6,IMCI,Yes,On needs basis,Yes,
KD-042-R6,Malaria,Yes,MTWTF,Yes,
KD-042-R6,Labour and Delivery,No,,,
KD-042-R6,Family Planning,Yes,Specific days,Yes,
KD-043-R1,Immunization,Yes,MTWTFSS,Yes,
KD-043-R1,Nutrition,No,,,
KD-043-R1,Antenatal Care,Yes,Specific days,Yes,
KD-043-R1,Postnatal Care,Yes,On needs basis,Yes,
KD-043-R1,IMCI,Yes,Specific days,No,"Staff unavailable (leave, redeployment, strike)"
KD-043-R1,Malaria,Yes,On needs basis,Yes,
KD-043-R1,Labour and Delivery,No,,,
KD-043-R1,Family Planning,No,,,
KD-043-R2,Immunization,Yes,Specific days,Yes,
KD-043-R2,Nutrition,No,,,
KD-043-R2,Antenatal Care,Yes,Specific days,Yes,
KD-043-R2,Postnatal Care,Yes,MTWTF,Yes,
KD-043-R2,IMCI,Yes,MTWTF,Yes,
KD-043-R2,Malaria,Yes,MTWTF,Yes,
KD-043-R2,Labour and Delivery,No,,,
KD-043-R2,Family Planning,No,,,
KD-043-R3,Immunization,Yes,Specific days,No,"Security concerns (insecurity, movement restrictions)"
KD-043-R3,Nutrition,No,,,
KD-043-R3,Antenatal Care,Yes,MTWTF,No,"Attending training, meeting, or other official assignment"
KD-043-R3,Postnatal Care,Yes,Specific days,Yes,
KD-043-R3,IMCI,Yes,On needs basis,Yes,
KD-043-R3,Malaria,Yes,Specific days,Yes,
KD-043-R3,Labour and Delivery,No,,,
KD-043-R3,Family Planning,No,,,
KD-043-R4,Immunization,Yes,Specific days,Yes,
KD-043-R4,Nutrition,No,,,
KD-043-R4,Antenatal Care,Yes,Specific days,Yes,
KD-043-R4,Postnatal Care,Yes,MTWTF,Yes,
KD-043-R4,IMCI,Yes,Specific days,Yes,
KD-043-R4,Malaria,Yes,MTWTF,Yes,
KD-043-R4,Labour and Delivery,No,,,
KD-043-R4,Family Planning,No,,,
KD-043-R5,Immunization,Yes,Specific days,No,Vaccine stock-out
KD-043-R5,Nutrition,No,,,
KD-043-R5,Antenatal Care,Yes,Specific days,No,Weather or environmental conditions
KD-043-R5,Postnatal Care,Yes,On needs basis,Yes,
KD-043-R5,IMCI,Yes,MTWTF,Yes,
KD-043-R5,Malaria,Yes,MTWTFSS,Yes,
KD-043-R5,Labour and Delivery,No,,,
KD-043-R5,Family Planning,No,,,
KD-043-R6,Immunization,Yes,Specific days,Yes,
KD-043-R6,Nutrition,No,,,
KD-043-R6,Antenatal Care,Yes,On needs basis,Yes,
KD-043-R6,Postnatal Care,Yes,Specific days,Yes,
KD-043-R6,IMCI,Yes,Specific days,Yes,
KD-043-R6,Malaria,Yes,On needs basis,Yes,
KD-043-R6,Labour and Delivery,No,,,
KD-043-R6,Family Planning,No,,,
KD-044-R1,Immunization,Yes,Specific days,Yes,
KD-044-R1,Nutrition,Yes,Specific days,Yes,
KD-044-R1,Antenatal Care,No,,,
KD-044-R1,Postnatal Care,Yes,MTWTF,Yes,
KD-044-R1,IMCI,Yes,Specific days,Yes,
KD-044-R1,Malaria,Yes,MTWTF,Yes,
KD-044-R1,Labour and Delivery,Yes,MTWTF,Yes,
KD-044-R1,Family Planning,Yes,MTWTF,Yes,
KD-044-R2,Immunization,Yes,MTWTF,Yes,
KD-044-R2,Nutrition,Yes,Specific days,Yes,
KD-044-R2,Antenatal Care,No,,,
KD-044-R2,Postnatal Care,Yes,MTWTF,Yes,
KD-044-R2,IMCI,Yes,Specific days,Yes,
KD-044-R2,Malaria,Yes,MTWTFSS,Yes,
KD-044-R2,Labour and Delivery,Yes,MTWTFSS,Yes,
KD-044-R2,Family Planning,Yes,Specific days,Yes,
KD-044-R3,Immunization,Yes,MTWTF,Yes,
KD-044-R3,Nutrition,Yes,Specific days,Yes,
KD-044-R3,Antenatal Care,No,,,
KD-044-R3,Postnatal Care,Yes,MTWTF,Yes,
KD-044-R3,IMCI,Yes,Specific days,No,Vaccine stock-out
KD-044-R3,Malaria,Yes,MTWTF,Yes,
KD-044-R3,Labour and Delivery,Yes,On needs basis,Yes,
KD-044-R3,Family Planning,Yes,MTWTFSS,No,Lack of transportation or logistics support
KD-044-R4,Immunization,Yes,On needs basis,Yes,
KD-044-R4,Nutrition,Yes,Specific days,Yes,
KD-044-R4,Antenatal Care,No,,,
KD-044-R4,Postnatal Care,Yes,Specific days,Yes,
KD-044-R4,IMCI,Yes,Specific days,Yes,
KD-044-R4,Malaria,Yes,MTWTF,Yes,
KD-044-R4,Labour and Delivery,Yes,MTWTFSS,Yes,
KD-044-R4,Family Planning,Yes,MTWTFSS,Yes,
KD-044-R5,Immunization,Yes,MTWTF,No,Vaccine stock-out
KD-044-R5,Nutrition,Yes,MTWTF,Yes,
KD-044-R5,Antenatal Care,No,,,
KD-044-R5,Postnatal Care,Yes,MTWTFSS,No,Low community turnout / community resistance
KD-044-R5,IMCI,Yes,MTWTF,Yes,
KD-044-R5,Malaria,Yes,Specific days,Yes,
KD-044-R5,Labour and Delivery,Yes,Specific days,No,"Staff unavailable (leave, redeployment, strike)"
KD-044-R5,Family Planning,Yes,MTWTFSS,Yes,
KD-044-R6,Immunization,Yes,Specific days,Yes,
KD-044-R6,Nutrition,Yes,MTWTF,Yes,
KD-044-R6,Antenatal Care,No,,,
KD-044-R6,Postnatal Care,Yes,MTWTFSS,Yes,
KD-044-R6,IMCI,Yes,Specific days,Yes,
KD-044-R6,Malaria,Yes,MTWTFSS,Yes,
KD-044-R6,Labour and Delivery,Yes,MTWTFSS,Yes,
KD-044-R6,Family Planning,Yes,MTWTF,Yes,
KD-045-R1,Immunization,Yes,Specific days,No,"Facility closed (holiday, strike, renovation)"
KD-045-R1,Nutrition,No,,,
KD-045-R1,Antenatal Care,Yes,Specific days,Yes,
KD-045-R1,Postnatal Care,Yes,Specific days,Yes,
KD-045-R1,IMCI,Yes,MTWTF,Yes,
KD-045-R1,Malaria,Yes,MTWTF,Yes,
KD-045-R1,Labour and Delivery,No,,,
KD-045-R1,Family Planning,Yes,Specific days,No,Other
KD-045-R2,Immunization,Yes,Specific days,Yes,
KD-045-R2,Nutrition,No,,,
KD-045-R2,Antenatal Care,Yes,On needs basis,Yes,
KD-045-R2,Postnatal Care,Yes,MTWTF,Yes,
KD-045-R2,IMCI,Yes,Specific days,Yes,
KD-045-R2,Malaria,Yes,MTWTF,Yes,
KD-045-R2,Labour and Delivery,No,,,
KD-045-R2,Family Planning,Yes,Specific days,No,Vaccine stock-out
KD-045-R3,Immunization,Yes,Specific days,Yes,
KD-045-R3,Nutrition,No,,,
KD-045-R3,Antenatal Care,Yes,MTWTF,Yes,
KD-045-R3,Postnatal Care,Yes,MTWTF,Yes,
KD-045-R3,IMCI,Yes,MTWTF,No,"Staff unavailable (leave, redeployment, strike)"
KD-045-R3,Malaria,Yes,MTWTF,Yes,
KD-045-R3,Labour and Delivery,No,,,
KD-045-R3,Family Planning,Yes,MTWTF,Yes,
KD-045-R4,Immunization,Yes,MTWTF,Yes,
KD-045-R4,Nutrition,No,,,
KD-045-R4,Antenatal Care,Yes,Specific days,No,Low community turnout / community resistance
KD-045-R4,Postnatal Care,Yes,MTWTF,No,Low community turnout / community resistance
KD-045-R4,IMCI,Yes,MTWTF,Yes,
KD-045-R4,Malaria,Yes,Specific days,Yes,
KD-045-R4,Labour and Delivery,No,,,
KD-045-R4,Family Planning,Yes,Specific days,Yes,
KD-045-R5,Immunization,Yes,On needs basis,Yes,
KD-045-R5,Nutrition,No,,,
KD-045-R5,Antenatal Care,Yes,MTWTFSS,Yes,
KD-045-R5,Postnatal Care,Yes,Specific days,Yes,
KD-045-R5,IMCI,Yes,On needs basis,Yes,
KD-045-R5,Malaria,Yes,Specific days,Yes,
KD-045-R5,Labour and Delivery,No,,,
KD-045-R5,Family Planning,Yes,Specific days,Yes,
KD-045-R6,Immunization,Yes,Specific days,No,"Staff unavailable (leave, redeployment, strike)"
KD-045-R6,Nutrition,No,,,
KD-045-R6,Antenatal Care,Yes,Specific days,Yes,
KD-045-R6,Postnatal Care,Yes,On needs basis,No,"Staff unavailable (leave, redeployment, strike)"
KD-045-R6,IMCI,Yes,Specific days,No,Lack of transportation or logistics support
KD-045-R6,Malaria,Yes,Specific days,Yes,
KD-045-R6,Labour and Delivery,No,,,
KD-045-R6,Family Planning,Yes,Specific days,Yes,
KD-046-R1,Immunization,No,,,
KD-046-R1,Nutrition,Yes,MTWTF,Yes,
KD-046-R1,Antenatal Care,Yes,Specific days,Yes,
KD-046-R1,Postnatal Care,Yes,MTWTF,Yes,
KD-046-R1,IMCI,Yes,On needs basis,Yes,
KD-046-R1,Malaria,Yes,Specific days,Yes,
KD-046-R1,Labour and Delivery,Yes,MTWTF,Yes,
KD-046-R1,Family Planning,Yes,On needs basis,Yes,
KD-046-R2,Immunization,No,,,
KD-046-R2,Nutrition,Yes,Specific days,Yes,
KD-046-R2,Antenatal Care,Yes,MTWTFSS,Yes,
KD-046-R2,Postnatal Care,Yes,MTWTF,Yes,
KD-046-R2,IMCI,Yes,Specific days,Yes,
KD-046-R2,Malaria,Yes,MTWTF,No,"Staff unavailable (leave, redeployment, strike)"
KD-046-R2,Labour and Delivery,Yes,Specific days,Yes,
KD-046-R2,Family Planning,Yes,MTWTF,No,Low community turnout / community resistance
KD-046-R3,Immunization,No,,,
KD-046-R3,Nutrition,Yes,MTWTF,Yes,
KD-046-R3,Antenatal Care,Yes,Specific days,Yes,
KD-046-R3,Postnatal Care,Yes,MTWTF,Yes,
KD-046-R3,IMCI,Yes,On needs basis,Yes,
KD-046-R3,Malaria,Yes,Specific days,Yes,
KD-046-R3,Labour and Delivery,Yes,MTWTFSS,Yes,
KD-046-R3,Family Planning,Yes,Specific days,Yes,
KD-046-R4,Immunization,No,,,
KD-046-R4,Nutrition,Yes,Specific days,Yes,
KD-046-R4,Antenatal Care,Yes,MTWTFSS,Yes,
KD-046-R4,Postnatal Care,Yes,MTWTF,No,"Facility closed (holiday, strike, renovation)"
KD-046-R4,IMCI,Yes,Specific days,Yes,
KD-046-R4,Malaria,Yes,Specific days,Yes,
KD-046-R4,Labour and Delivery,Yes,MTWTF,Yes,
KD-046-R4,Family Planning,Yes,On needs basis,Yes,
KD-046-R5,Immunization,No,,,
KD-046-R5,Nutrition,Yes,Specific days,Yes,
KD-046-R5,Antenatal Care,Yes,Specific days,Yes,
KD-046-R5,Postnatal Care,Yes,Specific days,Yes,
KD-046-R5,IMCI,Yes,On needs basis,Yes,
KD-046-R5,Malaria,Yes,On needs basis,Yes,
KD-046-R5,Labour and Delivery,Yes,Specific days,Yes,
KD-046-R5,Family Planning,Yes,MTWTFSS,Yes,
KD-046-R6,Immunization,No,,,
KD-046-R6,Nutrition,Yes,Specific days,Yes,
KD-046-R6,Antenatal Care,Yes,Specific days,Yes,
KD-046-R6,Postnatal Care,Yes,MTWTF,No,"Staff unavailable (leave, redeployment, strike)"
KD-046-R6,IMCI,Yes,Specific days,Yes,
KD-046-R6,Malaria,Yes,MTWTF,Yes,
KD-046-R6,Labour and Delivery,Yes,On needs basis,No,"Staff unavailable (leave, redeployment, strike)"
KD-046-R6,Family Planning,Yes,MTWTF,Yes,
KD-047-R1,Immunization,Yes,Specific days,Yes,
KD-047-R1,Nutrition,Yes,MTWTF,Yes,
KD-047-R1,Antenatal Care,Yes,On needs basis,Yes,
KD-047-R1,Postnatal Care,Yes,MTWTFSS,No,Low community turnout / community resistance
KD-047-R1,IMCI,No,,,
KD-047-R1,Malaria,Yes,MTWTF,Yes,
KD-047-R1,Labour and Delivery,No,,,
KD-047-R1,Family Planning,Yes,Specific days,No,Lack of transportation or logistics support
KD-047-R2,Immunization,Yes,MTWTF,Yes,
KD-047-R2,Nutrition,Yes,MTWTF,Yes,
KD-047-R2,Antenatal Care,Yes,Specific days,Yes,
KD-047-R2,Postnatal Care,Yes,MTWTF,Yes,
KD-047-R2,IMCI,No,,,
KD-047-R2,Malaria,Yes,MTWTF,Yes,
KD-047-R2,Labour and Delivery,No,,,
KD-047-R2,Family Planning,Yes,Specific days,No,"Facility closed (holiday, strike, renovation)"
KD-047-R3,Immunization,Yes,MTWTFSS,Yes,
KD-047-R3,Nutrition,Yes,MTWTFSS,Yes,
KD-047-R3,Antenatal Care,Yes,Specific days,Yes,
KD-047-R3,Postnatal Care,Yes,MTWTFSS,Yes,
KD-047-R3,IMCI,No,,,
KD-047-R3,Malaria,Yes,Specific days,Yes,
KD-047-R3,Labour and Delivery,No,,,
KD-047-R3,Family Planning,Yes,MTWTF,Yes,
KD-047-R4,Immunization,Yes,Specific days,No,Vaccine stock-out
KD-047-R4,Nutrition,Yes,Specific days,Yes,
KD-047-R4,Antenatal Care,Yes,Specific days,Yes,
KD-047-R4,Postnatal Care,Yes,MTWTFSS,Yes,
KD-047-R4,IMCI,No,,,
KD-047-R4,Malaria,Yes,MTWTF,Yes,
KD-047-R4,Labour and Delivery,No,,,
KD-047-R4,Family Planning,Yes,MTWTF,Yes,
KD-047-R5,Immunization,Yes,Specific days,Yes,
KD-047-R5,Nutrition,Yes,MTWTFSS,No,"Facility closed (holiday, strike, renovation)"
KD-047-R5,Antenatal Care,Yes,MTWTFSS,Yes,
KD-047-R5,Postnatal Care,Yes,MTWTFSS,Yes,
KD-047-R5,IMCI,No,,,
KD-047-R5,Malaria,Yes,MTWTFSS,Yes,
KD-047-R5,Labour and Delivery,No,,,
KD-047-R5,Family Planning,Yes,MTWTFSS,No,Cold chain equipment failure
KD-047-R6,Immunization,Yes,MTWTFSS,Yes,
KD-047-R6,Nutrition,Yes,On needs basis,No,"Staff unavailable (leave, redeployment, strike)"
KD-047-R6,Antenatal Care,Yes,MTWTFSS,Yes,
KD-047-R6,Postnatal Care,Yes,On needs basis,Yes,
KD-047-R6,IMCI,No,,,
KD-047-R6,Malaria,Yes,MTWTF,No,Lack of transportation or logistics support
KD-047-R6,Labour and Delivery,No,,,
KD-047-R6,Family Planning,Yes,Specific days,Yes,
KD-048-R1,Immunization,Yes,MTWTF,Yes,
KD-048-R1,Nutrition,Yes,MTWTF,Yes,
KD-048-R1,Antenatal Care,Yes,MTWTF,Yes,
KD-048-R1,Postnatal Care,Yes,MTWTF,No,"Attending training, meeting, or other official assignment"
KD-048-R1,IMCI,Yes,On needs basis,Yes,
KD-048-R1,Malaria,Yes,MTWTF,Yes,
KD-048-R1,Labour and Delivery,No,,,
KD-048-R1,Family Planning,Yes,MTWTF,Yes,
KD-048-R2,Immunization,Yes,MTWTF,No,Cold chain equipment failure
KD-048-R2,Nutrition,Yes,Specific days,Yes,
KD-048-R2,Antenatal Care,Yes,Specific days,Yes,
KD-048-R2,Postnatal Care,Yes,Specific days,Yes,
KD-048-R2,IMCI,Yes,On needs basis,Yes,
KD-048-R2,Malaria,Yes,Specific days,Yes,
KD-048-R2,Labour and Delivery,No,,,
KD-048-R2,Family Planning,Yes,On needs basis,No,Low community turnout / community resistance
KD-048-R3,Immunization,Yes,Specific days,Yes,
KD-048-R3,Nutrition,Yes,On needs basis,No,"Staff unavailable (leave, redeployment, strike)"
KD-048-R3,Antenatal Care,Yes,Specific days,Yes,
KD-048-R3,Postnatal Care,Yes,Specific days,Yes,
KD-048-R3,IMCI,Yes,MTWTF,Yes,
KD-048-R3,Malaria,Yes,On needs basis,Yes,
KD-048-R3,Labour and Delivery,No,,,
KD-048-R3,Family Planning,Yes,On needs basis,No,"Staff unavailable (leave, redeployment, strike)"
KD-048-R4,Immunization,Yes,Specific days,Yes,
KD-048-R4,Nutrition,Yes,MTWTF,Yes,
KD-048-R4,Antenatal Care,Yes,Specific days,Yes,
KD-048-R4,Postnatal Care,Yes,MTWTF,Yes,
KD-048-R4,IMCI,Yes,On needs basis,Yes,
KD-048-R4,Malaria,Yes,MTWTF,Yes,
KD-048-R4,Labour and Delivery,No,,,
KD-048-R4,Family Planning,Yes,Specific days,Yes,
KD-048-R5,Immunization,Yes,Specific days,No,Vaccine stock-out
KD-048-R5,Nutrition,Yes,Specific days,Yes,
KD-048-R5,Antenatal Care,Yes,MTWTFSS,Yes,
KD-048-R5,Postnatal Care,Yes,MTWTF,No,Other
KD-048-R5,IMCI,Yes,MTWTF,Yes,
KD-048-R5,Malaria,Yes,Specific days,Yes,
KD-048-R5,Labour and Delivery,No,,,
KD-048-R5,Family Planning,Yes,Specific days,Yes,
KD-048-R6,Immunization,Yes,Specific days,Yes,
KD-048-R6,Nutrition,Yes,Specific days,Yes,
KD-048-R6,Antenatal Care,Yes,On needs basis,Yes,
KD-048-R6,Postnatal Care,Yes,MTWTF,Yes,
KD-048-R6,IMCI,Yes,MTWTF,No,"Staff unavailable (leave, redeployment, strike)"
KD-048-R6,Malaria,Yes,MTWTF,Yes,
KD-048-R6,Labour and Delivery,No,,,
KD-048-R6,Family Planning,Yes,Specific days,Yes,
KD-049-R1,Immunization,Yes,On needs basis,Yes,
KD-049-R1,Nutrition,No,,,
KD-049-R1,Antenatal Care,Yes,Specific days,Yes,
KD-049-R1,Postnatal Care,Yes,Specific days,Yes,
KD-049-R1,IMCI,Yes,Specific days,Yes,
KD-049-R1,Malaria,Yes,MTWTF,Yes,
KD-049-R1,Labour and Delivery,Yes,MTWTF,Yes,
KD-049-R1,Family Planning,No,,,
KD-049-R2,Immunization,Yes,MTWTFSS,Yes,
KD-049-R2,Nutrition,No,,,
KD-049-R2,Antenatal Care,Yes,MTWTF,Yes,
KD-049-R2,Postnatal Care,Yes,MTWTF,Yes,
KD-049-R2,IMCI,Yes,MTWTFSS,Yes,
KD-049-R2,Malaria,Yes,MTWTF,No,"Attending training, meeting, or other official assignment"
KD-049-R2,Labour and Delivery,Yes,Specific days,Yes,
KD-049-R2,Family Planning,No,,,
KD-049-R3,Immunization,Yes,Specific days,No,"Attending training, meeting, or other official assignment"
KD-049-R3,Nutrition,No,,,
KD-049-R3,Antenatal Care,Yes,MTWTF,Yes,
KD-049-R3,Postnatal Care,Yes,Specific days,Yes,
KD-049-R3,IMCI,Yes,Specific days,No,"Facility closed (holiday, strike, renovation)"
KD-049-R3,Malaria,Yes,Specific days,Yes,
KD-049-R3,Labour and Delivery,Yes,MTWTF,Yes,
KD-049-R3,Family Planning,No,,,
KD-049-R4,Immunization,Yes,Specific days,Yes,
KD-049-R4,Nutrition,No,,,
KD-049-R4,Antenatal Care,Yes,MTWTF,No,"Facility closed (holiday, strike, renovation)"
KD-049-R4,Postnatal Care,Yes,MTWTF,Yes,
KD-049-R4,IMCI,Yes,Specific days,No,"Attending training, meeting, or other official assignment"
KD-049-R4,Malaria,Yes,Specific days,Yes,
KD-049-R4,Labour and Delivery,Yes,Specific days,Yes,
KD-049-R4,Family Planning,No,,,
KD-049-R5,Immunization,Yes,MTWTF,Yes,
KD-049-R5,Nutrition,No,,,
KD-049-R5,Antenatal Care,Yes,Specific days,No,"Staff unavailable (leave, redeployment, strike)"
KD-049-R5,Postnatal Care,Yes,Specific days,Yes,
KD-049-R5,IMCI,Yes,Specific days,Yes,
KD-049-R5,Malaria,Yes,Specific days,Yes,
KD-049-R5,Labour and Delivery,Yes,Specific days,Yes,
KD-049-R5,Family Planning,No,,,
KD-049-R6,Immunization,Yes,MTWTF,Yes,
KD-049-R6,Nutrition,No,,,
KD-049-R6,Antenatal Care,Yes,MTWTF,Yes,
KD-049-R6,Postnatal Care,Yes,Specific days,Yes,
KD-049-R6,IMCI,Yes,Specific days,Yes,
KD-049-R6,Malaria,Yes,Specific days,Yes,
KD-049-R6,Labour and Delivery,Yes,Specific days,Yes,
KD-049-R6,Family Planning,No,,,
KD-050-R1,Immunization,Yes,MTWTF,No,"Facility closed (holiday, strike, renovation)"
KD-050-R1,Nutrition,No,,,
KD-050-R1,Antenatal Care,Yes,MTWTF,Yes,
KD-050-R1,Postnatal Care,Yes,Specific days,Yes,
KD-050-R1,IMCI,Yes,MTWTF,Yes,
KD-050-R1,Malaria,Yes,MTWTF,No,"Staff unavailable (leave, redeployment, strike)"
KD-050-R1,Labour and Delivery,Yes,Specific days,Yes,
KD-050-R1,Family Planning,Yes,Specific days,Yes,
KD-050-R2,Immunization,Yes,Specific days,No,"Staff unavailable (leave, redeployment, strike)"
KD-050-R2,Nutrition,No,,,
KD-050-R2,Antenatal Care,Yes,Specific days,Yes,
KD-050-R2,Postnatal Care,Yes,Specific days,Yes,
KD-050-R2,IMCI,Yes,MTWTF,Yes,
KD-050-R2,Malaria,Yes,MTWTFSS,Yes,
KD-050-R2,Labour and Delivery,Yes,MTWTFSS,Yes,
KD-050-R2,Family Planning,Yes,MTWTF,Yes,
KD-050-R3,Immunization,Yes,MTWTFSS,Yes,
KD-050-R3,Nutrition,No,,,
KD-050-R3,Antenatal Care,Yes,Specific days,Yes,
KD-050-R3,Postnatal Care,Yes,MTWTF,Yes,
KD-050-R3,IMCI,Yes,MTWTF,Yes,
KD-050-R3,Malaria,Yes,MTWTF,No,"Staff unavailable (leave, redeployment, strike)"
KD-050-R3,Labour and Delivery,Yes,On needs basis,Yes,
KD-050-R3,Family Planning,Yes,On needs basis,Yes,
KD-050-R4,Immunization,Yes,MTWTFSS,No,Vaccine stock-out
KD-050-R4,Nutrition,No,,,
KD-050-R4,Antenatal Care,Yes,Specific days,Yes,
KD-050-R4,Postnatal Care,Yes,On needs basis,Yes,
KD-050-R4,IMCI,Yes,Specific days,No,"Staff unavailable (leave, redeployment, strike)"
KD-050-R4,Malaria,Yes,Specific days,Yes,
KD-050-R4,Labour and Delivery,Yes,MTWTFSS,Yes,
KD-050-R4,Family Planning,Yes,MTWTFSS,Yes,
KD-050-R5,Immunization,Yes,MTWTF,Yes,
KD-050-R5,Nutrition,No,,,
KD-050-R5,Antenatal Care,Yes,MTWTF,Yes,
KD-050-R5,Postnatal Care,Yes,MTWTFSS,Yes,
KD-050-R5,IMCI,Yes,Specific days,No,Vaccine stock-out
KD-050-R5,Malaria,Yes,MTWTF,Yes,
KD-050-R5,Labour and Delivery,Yes,Specific days,Yes,
KD-050-R5,Family Planning,Yes,Specific days,Yes,
KD-050-R6,Immunization,Yes,Specific days,Yes,
KD-050-R6,Nutrition,No,,,
KD-050-R6,Antenatal Care,Yes,MTWTF,Yes,
KD-050-R6,Postnatal Care,Yes,MTWTF,Yes,
KD-050-R6,IMCI,Yes,MTWTFSS,Yes,
KD-050-R6,Malaria,Yes,Specific days,Yes,
KD-050-R6,Labour and Delivery,Yes,Specific days,Yes,
KD-050-R6,Family Planning,Yes,Specific days,No,Low community turnout / community resistance
KD-051-R1,Immunization,No,,,
KD-051-R1,Nutrition,Yes,On needs basis,Yes,
KD-051-R1,Antenatal Care,Yes,Specific days,Yes,
KD-051-R1,Postnatal Care,Yes,MTWTF,No,"Staff unavailable (leave, redeployment, strike)"
KD-051-R1,IMCI,No,,,
KD-051-R1,Malaria,Yes,MTWTF,No,"Facility closed (holiday, strike, renovation)"
KD-051-R1,Labour and Delivery,Yes,Specific days,Yes,
KD-051-R1,Family Planning,Yes,MTWTF,No,"Attending training, meeting, or other official assignment"
KD-051-R2,Immunization,No,,,
KD-051-R2,Nutrition,Yes,Specific days,Yes,
