visit_id,facility_id,training
KD-173-R1,KD-173,Post Abortion Care
KD-173-R1,KD-173,Family Planning (Short term)
KD-173-R1,KD-173,Postpartum Family Planning
KD-173-R1,KD-173,"New Vaccine Introduction (HPV, MR)"
KD-173-R1,KD-173,Infection Prevention and Control
KD-174-R1,KD-174,RI Refresher Training Modules
KD-174-R1,KD-174,Infection Prevention and Control
KD-175-R1,KD-175,Modified Life Saving Skills
KD-175-R1,KD-175,Post Abortion Care
KD-175-R1,KD-175,Family Planning (LARC)
KD-175-R1,KD-175,Vaccine Management
KD-176-R1,KD-176,Life Saving Skills
KD-176-R1,KD-176,Basic Emergency Obstetric and Newborn Care
KD-176-R1,KD-176,Post Abortion Care
KD-176-R1,KD-176,Malaria Case Management
KD-176-R1,KD-176,Data Management (DHIS2)
KD-176-R1,KD-176,Infection Prevention and Control
KD-177-R1,KD-177,Modified Life Saving Skills
KD-177-R1,KD-177,Family Planning (LARC)
KD-177-R1,KD-177,Postpartum Family Planning
KD-177-R1,KD-177,Vaccine Management
KD-177-R1,KD-177,IMCI
KD-177-R1,KD-177,Malaria Case Management
KD-177-R1,KD-177,Infection Prevention and Control
KD-179-R1,KD-179,Life Saving Skills
KD-179-R1,KD-179,Post Abortion Care
KD-179-R1,KD-179,Family Planning (Short term)
KD-179-R1,KD-179,Vaccine Management
KD-179-R1,KD-179,Malaria Case Management
KD-179-R1,KD-179,Data Management (DHIS2)
KD-179-R1,KD-179,Infection Prevention and Control
KD-180-R1,KD-180,Life Saving Skills
KD-180-R1,KD-180,Basic Emergency Obstetric and Newborn Care
KD-180-R1,KD-180,"New Vaccine Introduction (HPV, MR)"
KD-181-R1,KD-181,Family Planning (LARC)
KD-181-R1,KD-181,Vaccine Management
KD-181-R1,KD-181,Nutrition / IYCF
KD-181-R1,KD-181,Malaria Case Management
KD-181-R1,KD-181,Data Management (DHIS2)
KD-183-R1,KD-183,Life Saving Skills
KD-183-R1,KD-183,Post Abortion Care
KD-183-R1,KD-183,RI Refresher Training Modules
KD-183-R1,KD-183,Vaccine Management
KD-183-R1,KD-183,"New Vaccine Introduction (HPV, MR)"
KD-183-R1,KD-183,IMCI
KD-183-R1,KD-183,Data Management (DHIS2)
KD-184-R1,KD-184,Life Saving Skills
KD-184-R1,KD-184,Modified Life Saving Skills
KD-184-R1,KD-184,Post Abortion Care
KD-184-R1,KD-184,Postpartum Family Planning
KD-184-R1,KD-184,IMCI
KD-184-R1,KD-184,Nutrition / IYCF
